Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IDEA,EQ,23-Apr-18,70.85,71.7,72.3,70.7,71.6,71.65,71.42,10058839,718416455.2,30670,2995838,29.78
IDEA,EQ,24-Apr-18,71.65,71.3,71.6,70.15,71.2,71.05,70.83,10562502,748134024.7,30587,2771981,26.24
IDEA,EQ,25-Apr-18,71.05,71.95,72.7,70.7,71.4,71.4,71.45,16500330,1178969375,30628,7416543,44.95
IDEA,EQ,26-Apr-18,71.4,71.6,71.75,67.55,68.2,68.4,68.96,33670014,2321860973,70251,15515658,46.08
IDEA,EQ,27-Apr-18,68.4,69.25,70.1,68.25,68.75,68.8,69.37,13566533,941101283.3,43572,6267692,46.2
IDEA,EQ,30-Apr-18,68.8,71.85,71.85,68.1,69.2,69.15,69.28,15895319,1101203735,47618,3179499,20
IDEA,EQ,02-May-18,69.15,69.4,69.4,66.5,67.6,67.25,67.69,12655281,856622624.9,45108,5336237,42.17
IDEA,EQ,03-May-18,67.25,67.2,67.45,63.5,63.9,63.95,64.47,22821297,1471385130,63420,13274642,58.17
IDEA,EQ,04-May-18,63.95,64,64.75,61.5,62.5,62.5,62.95,22056640,1388383871,61535,10211814,46.3
IDEA,EQ,07-May-18,62.5,63.05,63.4,62.1,62.35,62.4,62.68,10017408,627884318.6,23276,4144688,41.37
IDEA,EQ,08-May-18,62.4,62.8,62.8,60.1,61.1,61.15,61.25,14039232,859942162.9,32331,4945777,35.23
IDEA,EQ,09-May-18,61.15,60.9,61.75,60.3,60.35,60.65,61.02,8767450,534976315.1,24929,1988078,22.68
IDEA,EQ,10-May-18,60.65,60.75,60.75,58.1,58.5,58.35,58.97,17558972,1035447959,46767,7406020,42.18
IDEA,EQ,11-May-18,58.35,58.25,58.25,50.75,51.55,51.4,52.84,79589877,4205476516,153929,25689524,32.28
IDEA,EQ,14-May-18,51.4,51.3,53.25,50.1,51.1,51.75,51.88,37220470,1930869372,83033,10141889,27.25
IDEA,EQ,15-May-18,51.75,51.5,53.8,51.3,53.1,53.1,52.5,24617544,1292348656,51615,6604351,26.83
IDEA,EQ,16-May-18,53.1,53,53.65,52.2,52.55,52.75,52.72,13338148,703208565.6,28603,4036802,30.27
IDEA,EQ,17-May-18,52.75,52.55,53.6,52.3,52.85,52.65,52.77,15388110,812000510.4,20860,6724241,43.7
IDEA,EQ,18-May-18,52.65,53,53.2,51.5,52.1,52.1,52.3,14699753,768749386.1,34652,5989122,40.74
IDEA,EQ,21-May-18,52.1,52.3,53.35,51.95,52.85,52.85,52.61,7611669,400482116.4,18745,1501861,19.73
IDEA,EQ,22-May-18,52.85,52.95,55.9,52.35,55,54.9,54.63,15095572,824625048.1,42344,2289750,15.17
IDEA,EQ,23-May-18,54.9,55,56.1,54.05,54.55,54.65,55.21,11624433,641831919.6,21931,4683450,40.29
IDEA,EQ,24-May-18,54.65,54.95,57.85,54.75,57.45,56.9,55.79,15926022,888491154.9,28695,6775282,42.54
IDEA,EQ,25-May-18,56.9,57.85,61.25,57,59.7,59.75,59.74,28544212,1705268754,104453,4849093,16.99
IDEA,EQ,28-May-18,59.75,60.85,61.95,59.8,61.35,61.35,60.65,10692683,648491434.1,44779,2278259,21.31
IDEA,EQ,29-May-18,61.35,61.5,63.2,60.95,62.3,62.3,62.49,16978988,1061089771,63922,5436547,32.02
IDEA,EQ,30-May-18,62.3,62,63,60.9,61.55,61.85,62.07,14810946,919269607.7,66547,3968974,26.8
IDEA,EQ,31-May-18,61.85,62,62.95,60.45,61.9,61.5,61.62,23784601,1465720449,48945,10813694,45.47
IDEA,EQ,01-Jun-18,61.5,63,63,60.95,61.9,61.8,62.08,12836665,796924528.2,46168,2123654,16.54
IDEA,EQ,04-Jun-18,61.8,62.8,63.7,61.8,62.75,62.9,62.86,10720038,673873765.2,36187,2146817,20.03
IDEA,EQ,05-Jun-18,62.9,63.85,63.85,55.3,56.25,56.55,58.61,39333464,2305460677,96290,5999692,15.25
IDEA,EQ,06-Jun-18,56.55,56,59.45,55.35,59,58.95,58.07,21605255,1254535496,61231,1974075,9.14
IDEA,EQ,07-Jun-18,58.95,59,62.35,59,61.65,61.8,60.9,14703905,895436514.9,45563,1601746,10.89
IDEA,EQ,08-Jun-18,61.8,61.7,64.8,60.8,64.4,64.15,63.36,21059875,1334360825,51973,3806068,18.07
IDEA,EQ,11-Jun-18,64.15,64.7,65.35,63.1,63.7,63.75,64.42,12188544,785244222.2,37618,2461312,20.19
IDEA,EQ,12-Jun-18,63.75,63.7,65.85,63.05,65.55,65.25,64.49,12612287,813348498,36725,3355592,26.61
IDEA,EQ,13-Jun-18,65.25,64.35,64.5,60.95,61.5,61.5,62.16,22298778,1386193745,56962,3959236,17.76
IDEA,EQ,14-Jun-18,61.5,61.55,63.1,61.55,62.9,62.8,62.3,9864682,614575999.3,30136,1459228,14.79
IDEA,EQ,15-Jun-18,62.8,62.3,63.3,60.15,60.5,60.65,61,27317317,1666259377,50893,13293479,48.66
IDEA,EQ,18-Jun-18,60.65,62.7,63.2,61.7,62.2,62.25,62.4,17051922,1064002553,40190,2046536,12
IDEA,EQ,19-Jun-18,62.25,62.2,62.5,61.1,61.9,61.7,61.79,8070353,498659764.6,19558,1917447,23.76
IDEA,EQ,20-Jun-18,61.7,62.9,62.95,61.25,61.45,61.5,61.75,8886621,548791653.1,25820,2035373,22.9
IDEA,EQ,21-Jun-18,61.5,61.9,61.9,60.3,60.95,60.8,60.89,6144029,374113445.2,19630,1490441,24.26
IDEA,EQ,22-Jun-18,60.8,61,61.1,60.15,60.6,60.55,60.52,5552283,336048006.9,18347,1451261,26.14
IDEA,EQ,25-Jun-18,60.55,60.05,60.2,55.6,56.2,56,56.88,28254191,1607155781,70190,4775420,16.9
IDEA,EQ,26-Jun-18,56,56,58.35,55.2,57.7,57.95,57.34,25727556,1475121916,57477,4097217,15.93
IDEA,EQ,27-Jun-18,57.95,58,58.75,54.5,55.65,55.7,56.44,16551679,934192548.3,39556,1619531,9.78
IDEA,EQ,28-Jun-18,55.7,55.7,57.4,54.8,56.7,56.7,56.28,17683835,995246801.9,37735,5554272,31.41
IDEA,EQ,29-Jun-18,56.7,58,59.8,55.8,58.95,59.35,58.15,13211851,768213540.5,39002,3220075,24.37
IDEA,EQ,02-Jul-18,59.35,58.9,58.95,55.65,56.7,57.05,57.05,11168220,637150953.2,28819,1426505,12.77
IDEA,EQ,03-Jul-18,57.05,57.75,57.95,56.1,56.75,56.8,57.06,10296382,587530059.1,36176,1333938,12.96
IDEA,EQ,04-Jul-18,56.8,56.8,57.1,55.05,55.2,55.15,55.65,10186599,566875142.1,25746,2544813,24.98
IDEA,EQ,05-Jul-18,55.15,54.7,56.25,53.55,54.25,54.5,54.51,17648765,962078634.3,46154,1766423,10.01
IDEA,EQ,06-Jul-18,54.5,53.9,55.3,53.8,54.7,54.7,54.76,9225542,505173688.5,69486,2835419,30.73
IDEA,EQ,09-Jul-18,54.7,55.2,55.7,54.4,54.65,54.6,54.91,7224628,396672913.1,18127,1318019,18.24
IDEA,EQ,10-Jul-18,54.6,56.4,57,55.05,55.85,55.8,56.15,17081234,959083522.6,38558,1803636,10.56
IDEA,EQ,11-Jul-18,55.8,56.2,56.2,52.65,54.1,54.05,54.08,17271933,934016372.9,39342,3479938,20.15
IDEA,EQ,12-Jul-18,54.05,54.05,55.35,53.75,54.6,54.35,54.46,14458513,787478888.9,35072,1453980,10.06
IDEA,EQ,13-Jul-18,54.35,54.35,54.7,52.85,53.55,53.35,53.42,18900856,1009768809,56119,6758051,35.76
IDEA,EQ,16-Jul-18,53.35,53,54.5,52.15,52.5,52.45,53.03,20848550,1105687252,53160,8820961,42.31
IDEA,EQ,17-Jul-18,52.45,52.5,53.2,51.5,52.4,52.45,52.48,22131264,1161431427,31664,14161154,63.99
IDEA,EQ,18-Jul-18,52.45,52.5,52.95,48.3,50.2,50,50.17,29264511,1468215249,70718,12598301,43.05
IDEA,EQ,19-Jul-18,50,50,50.8,48.7,50.75,50.4,50.01,8514282,425806807.8,19877,994755,11.68
IDEA,EQ,20-Jul-18,50.4,50.2,51.65,49.2,50.95,51.15,50.34,7199661,362463196.7,19182,877684,12.19
